,AZ_A10,AZ_A11,AZ_A12,AZ_A2,AZ_A5,AZ_A6,AZ_A7,AZ_A8,AZ_A9,AZ_B1,AZ_B10,AZ_B11,AZ_B12,AZ_B2,AZ_B3,AZ_B4,AZ_B5,AZ_B8,AZ_B9,AZ_C1,AZ_C10,AZ_C11,AZ_C2,AZ_C3,AZ_C4,AZ_C5,AZ_C8,AZ_C9,AZ_D12,AZ_D2,AZ_D3,AZ_D4,AZ_D5,AZ_D6,AZ_D7,AZ_D8,AZ_D9,AZ_E1,AZ_E12,AZ_E2,AZ_E3,AZ_E4,AZ_E5,AZ_E7,AZ_E8,AZ_E9,AZ_F1,AZ_F11,AZ_F2,AZ_F3,AZ_F4,AZ_F5,AZ_F6,AZ_F7,AZ_F8,AZ_F9,AZ_G1,AZ_G10,AZ_G2,AZ_G3,AZ_G4,AZ_G5,AZ_G6,AZ_H1,AZ_H10,AZ_H11,AZ_H12,AZ_H2,AZ_H3,AZ_H4,AZ_H5,AZ_H6,AZ_H9
CAPN2,3.43663475560372,0,0,0,185.925443896997,25.2185720182689,0,0,0,184.35279330694,293.961919038418,115.156522580892,0,0,50.3878140357916,0,146.611047065233,291.93764468558,108.471634667534,0,8.30902942227318,0,136.719902757035,449.536614025643,0,0,84.9478564024994,355.247493606901,0,46.4270188367077,0,211.563282269435,170.118555861183,1.83392018779343,0,0,0,0,0,60.9000497791711,0,70.7512962227062,0.674416157932078,219.543551873017,73.3644085807617,0,0,3.46374326734902,0,0,116.288985882517,127.513592488067,16.6874905245233,0,0,465.771115839394,0,2.28115718541702,286.52966728175,176.220411067997,0,0,153.813074869597,2.70464712468964,589.838026410099,0,449.458658337458,11.4424985839908,73.2004880032534,0,0,147.480031979881,254.176974955095
SERINC3,0,1.41657706816711,438.828585810349,2.59874584525508,0,215.021508787345,105.025790189555,502.042308109389,1379.45957642477,2.63361133295629,263.018559139637,185.61218421136,343.773093427075,608.194987105645,366.485280968397,0,63.6600599099037,488.915352198708,142.082563719447,332.544518174781,258.964750327514,0,227.119401301305,491.412639799076,273.619957839725,264.629654890192,54.1200052886891,141.014272271442,0,0,356.086999527415,266.938906487609,282.73224776929,0,140.063339754756,194.005627501167,0,0,1.49203848265654,567.959159897052,0,1.17918827037844,468.719229762794,233.462739599836,369.091045231049,140.68325165889,406.024877482597,3.46374326734902,243.222966235039,0,155.051981176689,460.892502968916,75.6262868451802,153.30369461904,112.57943886655,0,351.402714158585,0,0,0,0,0,99.1119461307617,0,148.883253562825,634.6294744277,327.137631068403,1361.65733149491,0,54.1522465797933,0,0,350.199387715909
PLEKHB2,0,219.569445565901,0,0,13.2803888497855,0,174.729005203251,0,0,299.573289123778,1.71907554993227,233.569399270754,280.489447962471,18.6499314615019,376.500250217747,112.905046855594,130.406668179075,130.890724210678,481.247393243287,1141.41015502932,468.075324121389,63.8326952567051,112.065494063144,318.863232395294,1.14008315766552,84.0267357795662,517.222835353928,326.773457859783,35.4170355941208,181.487437270767,382.463814307224,673.026817420887,277.940175773201,229.240023474178,0,159.218411535441,312.996042835744,39.426735269186,123.839194060493,789.052818877956,1333.1552194781,201.641194234713,628.555859192697,180.316750097434,501.449514320052,243.264789326831,446.506524493511,3.46374326734902,394.76958365841,0,172.882959012009,3.07261668645944,0,220.914554810002,607.928969879371,31.7571215345041,817.723613217681,0,0,518.494671026992,233.618001194048,153.383086628458,183.059222908183,0,51.2548905708086,0,0,0,569.337128914193,713.825068551821,0,620.968555704761,0
MAP2K3,164.958468268979,0,513.042243704746,124.739800572244,0,0,0,0,0,427.303438772158,0,0,173.519673048108,277.676757315695,0,0,0,30.7978174613359,0,0,0,93.1206377862521,0,63.0663038756514,1.14008315766552,0,95.9088701318541,161.352869233669,0,126.61914228193,0,38.3369706125822,0,0,0,0,0,0,0,0,0,183.953370179036,159.16221327197,0.632690351219068,0,0,0,0,0,0,249.63368969447,0,44.3816237354344,79.7965384811928,0,0,0,0,0,0,0,313.363295262442,0,0,65.085575328011,21.0840356952724,0,0,0,0,5.78221852160237,0,0
ARL1,107.68122234225,0,396.881735696124,415.799335240813,79.6823330987131,185.821056976718,133.754817999254,154.629030897692,0,80.3251456551668,113.45898629553,213.143178041753,287.430234884395,507.692578674218,173.071187340328,0,126.54848272999,112.283709494454,163.471336752481,532.071229079649,0,64.5836681420781,0.747103293754291,63.5708343066566,206.355051537459,127.131359978175,57.5453220791125,58.3039779583845,0,611.992521029329,127.487938102408,437.32544254353,0,988.482981220657,440.199067800661,38.8011255002335,216.116315291347,0,0,71.4913627842444,1.34934738813573,266.496549105527,104.534504479472,247.381927326656,291.944966104887,914.441135782785,196.970401873998,0,164.643238682181,0,207.769654776764,271.92657675166,57.8736373510065,154.482953808418,0,116.442778959848,548.948023739628,0,0,0,0,478.291345400569,0,159.574180356689,50.4413208792085,0,0,0,0,0,494.379683597002,170.766352818809,434.925046034274
CAPRIN1,137.465390224149,1.41657706816711,235.547696795261,0,13.2803888497855,0,0,0,892.591490627789,276.52918996041,0,82.8890136829039,44.5026926170441,0,175.574929652665,0,120.375386011454,85.9772404128961,0,77.7567329261619,289.431191542516,0,0,61.0481821516306,12.5409147343207,22.9163824853362,154.824318927136,237.283631225983,109.97921579227,0,0,0,587.028819520984,0,0,94.9958589833302,0,39.426735269186,24.618634963833,97.9696452969275,0,327.814339165205,61.3718703718191,0,209.504548215165,0,246.515104185863,0,0,0,0,0,34.4401400186971,334.123436990216,196.075856025908,0,155.75687870813,419.732922116731,487.100434378976,5.08328108849992,448.694891182218,87.4118665732074,111.568638813863,0,108.204768982818,0,0,0,24.4001626677511,0,161.902118604866,131.955818087262,0
TMEM30A,183.287186965532,107.6598571807,3.22668077801727,719.852599135657,0,58.4009036212542,113.03224056275,162.661707827442,0,0,0,103.907299295355,231.495657925358,449.670569682879,97.020014603077,28.2262617138986,119.217930376729,150.139360124013,0,7.33554084209075,155.101882549099,87.8638275886411,62.0095733816062,0,369.386943083629,120.583822125222,229.496224958365,469.143636595373,0,168.825523042574,0,515.419271569161,0,755.575117370892,231.215671976105,84.2921002246451,447.137204051063,19.713367634593,48.4912506863377,158.869695076099,0,71.9304844930846,460.626235867609,177.153298341339,245.052251341926,571.525709864241,142.592070068293,3.46374326734902,888.699299704952,0,576.793369977285,387.149702493889,224.74854259624,178.068137595962,236.416821619755,111.149925370764,305.815335024498,0,756.438321623821,367.690665401494,0,0,0.541595334047878,0,70.7805631692119,0,31.2914255804559,0,0,0,0,7.76210694630951,587.431231007332
FAM120B,40.0940721487101,0,0,0,0,38.491504659463,48.0387022391687,0,0,277.845995626888,0,113.676361622268,212.306423494155,0,0.312967789042184,0,0,107.792361114676,0,477.299190792038,389.139544609794,9.76264750984901,0,0.504530431005211,0,193.697994816533,0.685063358084672,145.081991663887,0,0,0,0,340.237111722367,0,0,90.9819494488233,0,0,0,0,0,23.5837654075687,0,0,0,0,0,0,14.9675671529255,0,54.2681934118413,132.122517517756,0,38.5224668529896,139.786136592633,0,0,0,0,823.491536336988,355.989335152834,4.94784150414382,0,822.212725905651,0,0,0,22.8849971679816,8.13338755591704,546.445397305187,0,0,0
PDK3,152.357474165098,0,0,220.893396846682,0,329.168729501615,0.470967669011458,502.042308109389,0,0,0,373.000561573068,567.511401263223,466.248286537547,584.310862141758,28.2262617138986,356.49633549546,1.28324239422233,15.2776950235964,292.443561571351,211.880250267966,0,127.00755993823,0,669.22881354966,297.367344154958,198.668373844555,161.352869233669,16.7764905445835,206.811265727153,457.198122850015,359.2316135179,0,0,412.408722611225,298.367275398347,305.54375610156,0,470.73814127814,162.841437453001,0,647.374360437762,0,270.791470321761,183.789188506444,146.545053811344,178.240087585366,0,0,0,413.213529835877,0,101.900208096557,177.281964803044,165.116510337607,0,212.741102625738,0,0,160.970567802498,1075.38444994085,532.717601946151,47.1187940621654,0,0,1.05420178476362,0,0,0,0,277.546489036914,318.24638479869,333.254256052236
NFKBIZ,17.1831737780186,0,0,0,0,0,187.916099935572,0,0,0,0,0,0,146.091129781765,0,0,0,336.851128483361,0,0,2.76967647409106,0,0,213.416372315204,0,0,0,86.7780137055025,22.3686540594447,0,0,0,256.375851790797,0,0,120.417286035207,0,0,0,0,0,0,8.09299389518494,0,0,26.3781096860419,0,0,0,6.51020474593926,0,0,204.865575162765,0,0,0,0,0,0,193.164681362997,0,0,0,0,400.276288267267,0,0,0,0,0,0,0,11.2967544424487
